,date,star,heading,review,crux
0,2023-08-02,3.0,Normal one,['I think that price is it bcoz of brand name samsung but I would like to say..phone is bit slow( although I am using 4GB version..but response time is a bit slow...I think that in same proce range there are a lot of better options in other brands ..must check before buying this phone'],"['Pricey and slow phone, better options.']"
1,2023-07-16,3.0,good enough,"[""A decent phone which does most of the needed work, although processor is a bit slow and it lags sometimes. other than that it's good""]",['Decent phone with slow processor.']
2,2023-07-05,3.0,Red Flag,"[""Never buy this. Lags very much even when using basic apps like whatsapp and youtube. Takes fortune to restart. Better option to buy old higher models of M series like M32. If you get M13 for 8,000 - 9,000 then it's fine deal. But above 10K add some more amount and buy* M32."", '*Compare Prices According to your budget.']","[""Lags, don't buy, better options.""]"
3,2023-08-02,3.0,Value for money,"[""For 8500/- it's good phone""]",['Good value for money.']
4,2023-07-31,3.0,Good 👍👍👍,['Good 👍👍'],['Two thumbs up!']
5,2023-07-24,3.0,Average,['Dislike and more heated'],['Dissatisfied and angry.']
6,2023-07-20,3.0,H,"[""It's a slim""]",['Slim and sleek.']
7,2023-08-02,3.0,Good,"['Lost in 4months, bought new phone']",['Lost and replaced.']
8,2023-08-02,3.0,Mobile quality feature is bad,['Bad mobile'],['Avoid this mobile.']
9,2023-07-07,3.0,Samsung phone,"['This is good phone 👍👍', 'Everyone has it own choice', 'So acording to the price range this is good mobile fone with good features']",['Good phone for the price.']
10,2023-06-28,3.0,Afraid little unhappy,['It has issues I have no idea how to get it solved I am not too mobile  can Amazon arrange a home visit I am senior citizen'],['Senior citizen with phone issues.']
11,2023-06-25,3.0,Can find better options for this price,"[""Lots of junk apps and ads .UI have made even small task like adding a home screen clock so complex. Don't buy Samsung of you are looking for budget phones they are a leage way from their hi end models""]",['Avoid Samsung budget phones.']
12,2023-07-19,3.0,Camera is not ok,['Camera quality is very bad'],['Bad camera quality.']
13,2023-07-06,3.0,Value for money,['Bad Camera quality'],['Bad camera quality.']
14,2023-07-17,3.0,Good product,['Product is good at the price'],['Good value for money.']
15,2023-07-11,3.0,Inferior product and quality,['In less than 6 months of its purchase sensor started malfunctioning'],['Sensor malfunctioning soon after purchase.']
16,2023-07-12,3.0,.,"['Battery backup is excellent, but performance is below average']","['Excellent battery, bad performance.']"
17,2023-07-01,3.0,Best 👍👍👍👍👍 phone,['Very good looking phone recommend'],"['Good looking phone, recommend.']"
18,2023-07-02,3.0,Samsung m13,['Average mobile'],"['Average product, not great.']"
19,2023-05-26,3.0,Camera quality is not good 😐,"[""Camera quality  is worst. No pro setting  for camera  in this mobile u can't  take pictures of even normal stars in night even though  it is 50mp. Here in daylight camera  is just similar to 13mp in Redmi phone. Other features  r okay. But I can't  find any new features  In this phone it's  so Normal phone........""]","['Bad camera, no pro settings.']"
20,2023-06-16,3.0,Average,"['using this phone for many months i can say that phine is heavy weighted but performace is too, screen also good']","['Heavy phone, good performance and screen.']"
21,2023-05-21,3.0,Budget friendly Samsung phone,"['1. Budget friendly.', '2. From good trusted brand: Samsung.', '3. Medium battery life. 1 and 1/2 day with normal usage (everything we do normally).', '4. Plus point: Screen size (6.6-inch) in this price.', '5. Looks normal phone in design. If you are not so much with looks, then it is fine.', 'Thanks.']","['Budget friendly, good brand, large screen.']"
